,StockA,StockB,StockC,Bond,Gold
2020-01-01,101.01351892847231,100.0149158945747,99.0389790804579,100.25755091235371,102.38414957215409
2020-01-02,103.41150363471854,100.00744555939443,99.18216054684808,100.00219883739977,103.08713036504345
2020-01-03,103.0612381426502,101.19293961657168,99.83385637675666,99.67015748797742,101.73267684514768
2020-01-06,102.71218480763342,103.22057729205265,101.8639918857826,100.70368454242671,101.43193758671711
2020-01-07,105.24081908995315,104.06281455051216,102.87867972437556,101.21643066651981,101.86851047169495
2020-01-08,106.50218172369112,104.10685651271731,104.02303611340054,99.9896398115095,104.64698262159624
2020-01-09,105.76040975320934,102.23113683669996,104.17601762856592,100.19235753128486,102.81960144520073
2020-01-10,106.66080622154158,100.73833561701235,106.2288860682182,100.92421896548905,104.45592330972187
2020-01-13,105.92773402302151,100.33444220246348,106.85779674162453,102.5816244553813,104.73326229182585
2020-01-14,105.19598303398097,99.50520671910446,105.64833729525414,103.56598962269624,105.90264594394402
2020-01-15,105.60530948517619,99.27130321890964,107.71983150227497,104.42056670379003,105.79997226185576
2020-01-16,102.58113158592279,99.37803651801424,108.78307962976214,104.50886641375953,104.69676776008279
2020-01-17,99.93081381900755,100.14928878546827,108.16512555476703,104.95905265534438,105.74754710779995
2020-01-20,99.09415102062006,100.07775423672899,107.49737462103175,106.3705688845358,106.67662483579288
2020-01-21,97.59020977788505,100.79316148372082,107.96744617767293,104.91184894042911,108.05386776132002
2020-01-22,98.07823059424383,100.91264083785632,108.6855956578633,104.5491483548708,108.07217106605769
2020-01-23,96.74454406751312,98.17343290944784,109.01354869277237,103.7249341181,107.27910956966605
2020-01-24,94.69636672985249,96.911248969831,109.5121939528116,104.16170629535486,105.18800635853383
2020-01-27,96.85940943213768,96.74180154879048,112.11080529747434,105.54108680195928,106.33725064909507
2020-01-28,96.54369580398232,95.13541462765838,113.79424852082897,104.90266617420791,106.95427867699341
2020-01-29,96.66132774003381,95.96853952447336,114.1272828005397,102.31933638218376,105.67145659603672
2020-01-30,94.59691938302963,98.08527598843673,115.63598682931584,101.89827291077329,104.97857960731025
2020-01-31,93.83058608641642,99.8095697938923,114.06089097957455,102.904192013366,104.38650510290147
2020-02-03,94.00723611324908,99.53786761145312,114.71770019315737,103.50994308680379,102.45150346589107
2020-02-04,92.38521991929929,101.67605190567912,117.61463573251805,103.99944494772906,101.41545463552484
2020-02-05,92.93444949619027,101.91724671177195,117.30496123278076,103.71564696230804,99.98298702788297
2020-02-06,92.1023649265248,101.46312813155221,115.99848213100744,102.35119316630757,99.48843705608077
2020-02-07,91.70972160253969,100.61905602739829,115.0120517748384,102.92949943853,98.58233115493265
2020-02-10,90.8871192131975,100.21952589752297,113.35736608480447,102.05177438061045,96.5760744571993
2020-02-11,93.51407690683472,99.70127040049833,112.19075441392907,104.44612123012801,99.15204903357395
2020-02-12,93.51214996182611,99.96836923669238,111.66355751619888,105.09729458074575,100.79467948867023
2020-02-13,92.02978221013001,100.22230274557002,109.58511759116523,104.4795021918682,99.82495453315369
2020-02-14,93.21127720224857,100.25441141840751,109.64450868756109,103.83175982178999,100.20901466740506
2020-02-17,91.50526007484207,100.90068745341654,111.03498601076318,103.75238928370052,100.78216526474047
2020-02-18,91.81485930691522,102.63386309331275,109.70858550502318,103.51335201006941,102.37094980579393
2020-02-19,89.1223858176061,104.04325011535158,112.03619183902924,104.75910367895179,101.33451449996195
2020-02-20,87.34779527818233,101.92018081574514,112.85445925342674,104.98713182921423,102.80120820162257
2020-02-21,87.62725320323096,98.34983830690506,114.48526431819704,104.20433390235671,102.11490899947353
2020-02-24,88.63825848557914,99.67902657188922,113.50283136345797,106.32020743248943,100.41161464409802
2020-02-25,88.88720751461187,97.80730224634921,114.8676067075991,106.39804864559257,101.38455825356654
2020-02-26,88.7467202695644,97.52551157973039,113.2114560577405,107.28501587083554,103.11478735978783
2020-02-27,88.3556750744723,95.95954189332257,114.62841069731692,106.6234233617221,106.6367989798112
2020-02-28,86.39761955935552,93.58295345544903,114.9344980878985,107.05433657743961,105.04162387928031
2020-03-02,85.46821466701486,94.32485176588179,115.84081457488702,107.42819811396707,106.02507798645713
2020-03-03,84.88440259793806,95.36430232911837,114.04078756893901,105.33603990569856,105.5042710481801
2020-03-04,86.28293455157852,94.62007236797942,112.6979254937797,107.61613551479059,106.60763614254878
2020-03-05,86.75334321780173,91.25777859251588,113.6545693460327,109.11059902029395,104.6482579432227
2020-03-06,84.46273336690486,90.58416563314981,112.23489153011101,108.67876638073473,102.999376261281
2020-03-09,84.89786928003471,91.11022237819151,112.9814591168452,107.44864797460372,102.01256129452221
2020-03-10,84.41537260311573,89.25857822079199,110.93646047806574,107.86524408455942,102.15085189561049
2020-03-11,83.56208775539795,89.51400308236968,112.26067932429264,107.98668552033051,101.34751043911527
2020-03-12,84.36256205617742,89.51955630967201,110.4307402205511,108.41461439420586,102.24400272593766
2020-03-13,85.71826830906843,90.27728238516333,111.3001021699431,108.65649924744427,103.6370021274923
2020-03-16,86.96312851537921,90.45440768622228,112.28825213991797,109.26002475048087,104.47389093108133
2020-03-17,85.87083795354656,89.24909093676249,111.26572872186267,110.96004692524366,106.70555639281416
2020-03-18,85.48187091088118,90.78969581638373,112.18701603682604,111.64900778905734,107.31360548259296
2020-03-19,85.93168533830607,90.61253608272767,112.62222996294942,110.44638838128304,105.68499013788309
2020-03-20,87.2386413833814,90.6028643350546,111.83664677371002,112.06491437575343,107.5889320275107
2020-03-23,86.61819580477861,89.4456488861109,110.34927296031178,114.0402693682974,106.79209838598385
2020-03-24,86.38881268311661,88.91413697161802,107.47784533504581,117.91053969357475,108.08521223686871
2020-03-25,84.95620961522002,87.83837246794685,108.02578795293827,116.54990070944824,110.33014388768643
2020-03-26,83.4326908522821,87.64918973387252,105.78569103220991,116.87300194002275,111.01710767927615
2020-03-27,84.49087660682525,89.81082219826256,105.95786278953412,114.36511951050817,108.94075606610454
2020-03-30,86.27642557531075,88.11817056367495,105.61363803581763,115.05711996526873,107.69990472367176
2020-03-31,86.197531866435,86.1639269584604,106.62888438544802,114.41983386067123,109.58293085449766
2020-04-01,87.54596943174342,87.99060821381686,106.22669693857654,116.78367764223478,109.3823215833081
2020-04-02,88.04750565044648,87.75616602232579,105.78659038920952,115.8605181681256,109.5314604089574
2020-04-03,87.19987785503058,86.95797781263308,106.88012552598221,113.84398728873349,110.64206428031152
2020-04-06,87.69910914067638,88.26424267897339,107.4037015411588,113.305094519126,111.67422709004767
2020-04-07,89.80161297396553,87.53956364196797,107.90209703359048,110.99819963027828,112.11306155530794
2020-04-08,89.76912384631082,89.84287478131417,108.62879906723835,111.902627985542,111.85098311820447
2020-04-09,91.95863998891406,90.72917285037109,106.41850006749665,109.521004851907,111.44052922621968
2020-04-10,88.36601974652993,90.1334139125521,107.55501466518898,109.57714980559751,112.7138565629
2020-04-13,89.49960000009688,92.93721445327773,108.49049019751169,107.2306591621544,113.5569060238654
2020-04-14,89.63538371390214,92.17403985127166,107.0357839990735,106.89270874372951,113.22069615030968
2020-04-15,89.2432819309524,93.16742112681867,106.7161665447666,108.78005656815799,114.84468155336356
2020-04-16,89.38511573142864,93.58657517594101,106.69426322614825,109.21685018322704,114.6934914587145
2020-04-17,86.72690873338297,95.34304276017969,106.53434017678069,108.25223640143011,113.48409556419324
2020-04-20,86.45228701385453,97.4881698541661,107.05447773598652,108.23977087537435,112.42123934945951
2020-04-21,86.9415471365457,97.55914722715715,109.19511703410667,108.28336427154125,111.05435742755311
2020-04-22,88.94409885138946,96.55713081352306,110.85019222747157,108.84632199216414,110.70406596027638
2020-04-23,88.25877390063783,97.21107518917414,108.92510579671114,107.31516573963889,112.5108761417332
2020-04-24,87.191140342112,96.31517589339008,109.88684744493673,108.00929064281432,111.39111178261352
2020-04-27,86.54115959093099,99.11035927311045,111.92806677991334,105.00191719651507,111.69914868292135
2020-04-28,87.77666787785124,99.32850969724372,112.55557106282292,104.33062885374285,110.7984985486674
2020-04-29,88.23516987892755,98.84664571464239,114.27590126289164,103.8181880327711,110.46618531770298
2020-04-30,87.53993400942818,99.13134983513207,117.48557193887603,104.5345103943848,108.38080722591216
2020-05-01,88.24569545412822,97.29694832640412,119.17216081779067,104.5816879561394,108.11096673283885
