Day,StockA,StockB,StockC,Bond
0,-0.00677520125010875,-0.0019780680697788332,-0.010253400212644016,0.014707658203408018
1,0.004623719542324306,0.012971046557374298,-0.013216018423421065,0.010055021563342592
2,0.010451024179393155,-0.0012021950161377154,0.00794501994338531,-0.0040975819299855646
3,-0.02342596438367013,0.004426381012166751,0.02078051954491763,-0.0073614239897387655
4,0.015044809504013948,0.005147520902639292,0.017899966700925894,-0.012618912489947606
5,-0.01919286964581526,-0.01145802196019745,-0.013705303142948466,-0.016587474932414484
6,0.005277100117973483,-0.001776015085405818,0.01713828905732565,0.0035110667171514474
7,0.0026665898992470653,0.0035481113889043042,0.013356755994843416,0.01872732702109201
8,-0.0058426959496368745,0.01550533439004224,-0.005807119193120558,-0.010378602869335332
9,-0.02301432585546068,0.006529594318302172,0.017273549785228628,0.0005638395147841145
10,-0.0076322321247345075,-0.00933764942876384,-0.005804417499391937,-0.004500088147437866
11,0.011112170558612477,0.018350799737552208,0.020827623880306463,0.013135850923012548
12,-0.01852315756410958,0.013644918317879576,-0.001866381906240395,-0.0034228125301448437
13,0.016329092782832757,0.0073568403633743045,-0.005528572891028515,0.01167257207620082
14,0.008525575866119493,0.012692714559028704,0.005618483764338203,0.011851615880959395
15,0.0031152828296301047,0.002151255435763897,0.01639148497295366,-0.011737648578501415
16,0.0010130951997243413,-0.021326002853353572,-0.009592042626169526,0.007725281872114414
17,-0.010233141879883324,0.0020316323760896714,-0.004731163008574056,0.014930287830353432
18,0.007662809361717664,-0.028339817968826425,0.024213352345613996,0.0046013672283648326
19,-0.0016340784890511758,0.004836748050849192,-0.0012480032112804646,-0.01911905984478522
20,0.010391281986102615,0.008871667198449019,-0.014151026969126877,-0.002733913829129318
21,0.008347225807980583,0.018105914798273188,-0.00044844836513376675,0.006271615785109569
22,0.011253057530903337,0.0011746758990200733,0.0031228412323399133,0.010627635329890896
23,0.00667494199893212,0.010165961079332564,0.01127629638495284,-0.012963764312582317
24,-0.000907806165628636,-0.004701037520222304,-0.0032055283280326943,-0.0028102579141920615
25,0.01464231626603772,0.01811271229573256,0.017741100488054846,-0.004974326766691098
26,0.010530734882337262,0.009358801713326146,-0.018875662974440707,0.004345215106502057
27,-0.008245234199539446,-0.01280609197483597,0.018133297597141905,-0.0029406568590973447
28,0.02070956887646188,-0.022266732901068193,-0.004425622065072679,0.0020339545296470854
