Date,Open,High,Low,Close,Volume
2020-01-01,306.22758362071556,308.0452731047205,305.40721923810287,305.8835301159046,5512269
2020-01-02,305.5159358892806,307.2430011982318,304.2039272232997,304.3487812157083,4610726
2020-01-03,303.6321563996441,305.9155487419226,303.31773738133086,304.53915619702934,4730433
2020-01-06,307.1836789902367,309.08126935659806,303.92071682574374,306.0270955497067,5462199
2020-01-07,302.83208216193015,304.3552316838037,302.56588008266584,303.3785221538256,2758782
2020-01-08,303.4974856843354,306.1346891217674,300.72503773087544,303.46244704516954,3029643
2020-01-09,304.81753087272926,303.540612924563,301.6557981656268,303.53622123092555,3771966
2020-01-10,297.64532939267247,299.65451018117204,296.2769412379246,297.6318796278422,4907833
2020-01-13,302.0687356659893,303.82829742437536,298.88953420652024,301.16242928766655,2672745
2020-01-14,302.43075674899967,304.145847498197,302.3879144349762,303.29682278133674,4688683
2020-01-15,299.8672263610001,303.7834529604269,298.5369149710435,301.2297961301626,4168171
2020-01-16,302.05437393197957,302.52321818460354,299.6154341093828,300.7205463098121,4009864
2020-01-17,303.79307243730267,303.49373479173875,302.5091299076188,302.5250690351324,5613429
2020-01-20,302.56430626110694,301.8360833100353,298.7538960884127,301.7062368450712,5496769
2020-01-21,300.94158672952676,302.94431522719384,299.4601360981153,300.95311156017414,4096948
2020-01-22,295.31356568903374,297.2210421595865,293.43391282257596,296.10953689021403,5122667
2020-01-23,296.68395420159686,299.67337890281067,297.72792009474387,298.05289393898056,3421169
2020-01-24,299.6146864206233,299.14042726756514,297.95061859475084,298.54743135759503,4259025
2020-01-27,300.7404989141576,299.6117842879624,298.1048152544097,299.5538127914988,2896962
2020-01-28,293.72770513648544,294.773185132987,291.85105902708096,294.487951412542,5236640
2020-01-29,300.5956041742706,302.0513908829566,299.8516118229935,300.12781682770583,3812869
2020-01-30,300.7458964105488,301.1128806184206,299.1102327710236,300.72962795735947,5204260
2020-01-31,299.4633283463925,300.37930576544676,297.21775459278336,299.48820526445576,4438819
2020-02-03,306.4817672104906,308.3506469113813,305.33941087162043,306.53616023354414,3939257
2020-02-04,306.4944927273316,307.29274147869137,305.09130857155554,306.4560254198604,3341028
2020-02-05,300.22311432487663,302.95813059644274,298.71710346078,301.53264814936455,4086051
2020-02-06,299.40120245493205,301.46475621226506,298.61401105287644,300.2263285322792,5824769
2020-02-07,291.83835395690403,294.88502706962413,290.5915333910735,292.6106070383202,2710632
